id	path	symbol	line	file_sha256
R04	v2/daemon/src/daemon.ts	mirrorAccount	723	edfdc5756a1be5682e436b6e45e3fc3d2118de379b94bcfe12bee7f00aae34be
R05	v2/daemon/src/rpc.ts	flushWatch	149	16b119147b0fc12b32194dc7c255d6fc8910aa0644306c42f9ad19bc6559508e
R05	v2/daemon/src/daemon.ts	flushWatchers	694	edfdc5756a1be5682e436b6e45e3fc3d2118de379b94bcfe12bee7f00aae34be
R06	v2/daemon/src/daemon.ts	dispatch	563	edfdc5756a1be5682e436b6e45e3fc3d2118de379b94bcfe12bee7f00aae34be
R06	v2/daemon/src/daemon.ts	asyncInFlight	394	edfdc5756a1be5682e436b6e45e3fc3d2118de379b94bcfe12bee7f00aae34be
R07	v2/daemon/src/daemon.ts	rpcHealth	2183	edfdc5756a1be5682e436b6e45e3fc3d2118de379b94bcfe12bee7f00aae34be
R07	v2/daemon/src/daemon.ts	rpcNodeHarnesses	2142	edfdc5756a1be5682e436b6e45e3fc3d2118de379b94bcfe12bee7f00aae34be
R07	v2/daemon/src/daemon.ts	probeHarnessVersion	2162	edfdc5756a1be5682e436b6e45e3fc3d2118de379b94bcfe12bee7f00aae34be
R07	v2/daemon/src/daemon.ts	rpcDeployInfo	2120	edfdc5756a1be5682e436b6e45e3fc3d2118de379b94bcfe12bee7f00aae34be
L01	src/cli-bootstrap.ts	main	25	ec6c13080f1444ba28110934d9c1047477b47eb90a80905b0be539891ea23d73
L01	src/cli-bootstrap.ts	loadV2	20	ec6c13080f1444ba28110934d9c1047477b47eb90a80905b0be539891ea23d73
L01	v2/cli/src/main.ts	runV2Cli	3444	e19112dded2ec84bdded0b92096baa44f318bb1399d860fc87991b3776dbb321
L02	v2/cli/src/main.ts	makeContext	383	e19112dded2ec84bdded0b92096baa44f318bb1399d860fc87991b3776dbb321
L02	v2/daemon/src/config.ts	loadNodeConfig	533	637e94d4d2e22fedae9682ab1cde523d02b2cb0d5bd594441cc7443bb991900a
L03	v2/cli/src/main.ts	resolveBeeIn	401	e19112dded2ec84bdded0b92096baa44f318bb1399d860fc87991b3776dbb321
L03	v2/cli/src/main.ts	readBee	2430	e19112dded2ec84bdded0b92096baa44f318bb1399d860fc87991b3776dbb321
L04	v2/cli/src/readonly.ts	ReadOnlyStore.list	150	530ca612ea5de0079f9a8f04cb7b837e956ce2c1d1b0844a7ea87d6d2e3e4c14
L04	v2/cli/src/readonly.ts	view	269	530ca612ea5de0079f9a8f04cb7b837e956ce2c1d1b0844a7ea87d6d2e3e4c14
L04	v2/cli/src/readonly.ts	auditRows	427	530ca612ea5de0079f9a8f04cb7b837e956ce2c1d1b0844a7ea87d6d2e3e4c14
L05	v2/cli/src/main.ts	emit	435	e19112dded2ec84bdded0b92096baa44f318bb1399d860fc87991b3776dbb321
L05	v2/cli/src/render.ts	renderBeeList	153	6efc8d278c87ac8c90a6588790e5b7a80eb6dbf997254326b32098c77d6f2897
L05	v2/cli/src/render.ts	renderUsageTable	396	6efc8d278c87ac8c90a6588790e5b7a80eb6dbf997254326b32098c77d6f2897
L06	v2/cli/src/main.ts	waitForCommandSettled	2495	e19112dded2ec84bdded0b92096baa44f318bb1399d860fc87991b3776dbb321
L06	v2/cli/src/main.ts	waitForBeeIdle	2576	e19112dded2ec84bdded0b92096baa44f318bb1399d860fc87991b3776dbb321
L06	v2/cli/src/main.ts	cmdSend	1553	e19112dded2ec84bdded0b92096baa44f318bb1399d860fc87991b3776dbb321
L07	v2/cli/src/main.ts	readSessionLogSnapshot	2721	e19112dded2ec84bdded0b92096baa44f318bb1399d860fc87991b3776dbb321
L07	v2/cli/src/main.ts	cmdTranscript	2816	e19112dded2ec84bdded0b92096baa44f318bb1399d860fc87991b3776dbb321
L07	v2/cli/src/main.ts	cmdTail	2854	e19112dded2ec84bdded0b92096baa44f318bb1399d860fc87991b3776dbb321
L07	v2/cli/src/main.ts	cmdLast	2890	e19112dded2ec84bdded0b92096baa44f318bb1399d860fc87991b3776dbb321
L08	v2/cli/src/main.ts	followFileLines	2755	e19112dded2ec84bdded0b92096baa44f318bb1399d860fc87991b3776dbb321
L08	v2/cli/src/main.ts	followTranscriptStream	2797	e19112dded2ec84bdded0b92096baa44f318bb1399d860fc87991b3776dbb321
L09	v2/cli/src/main.ts	cmdEvents	2944	e19112dded2ec84bdded0b92096baa44f318bb1399d860fc87991b3776dbb321
L09	v2/cli/src/main.ts	cmdWatch	1992	e19112dded2ec84bdded0b92096baa44f318bb1399d860fc87991b3776dbb321
L10	src/completion/engine.ts	getCompletions	110	44b570530c07620e0c14ce58057aff0f730c028f81382146dd4ea9b65c0a75b1
L11	v2/cli/src/main.ts	buildTemplateInvocation	2107	e19112dded2ec84bdded0b92096baa44f318bb1399d860fc87991b3776dbb321
L11	v2/cli/src/main.ts	runTemplateInvocation	2173	e19112dded2ec84bdded0b92096baa44f318bb1399d860fc87991b3776dbb321
L11	v2/cli/src/main.ts	attachToBee	3146	e19112dded2ec84bdded0b92096baa44f318bb1399d860fc87991b3776dbb321
H01	v2/driver-hsr/src/driver.ts	start	399	a01bf7d4e955ee1cd79f6bab88c95d02928841be6f0a8ffe671a87d17a8413d3
